time_per_frame: 0.0536182, fps: 26.1068
time_per_frame: 0.0403631, fps: 26.0236
time_per_frame: 0.0415942, fps: 25.8997
time_per_frame: 0.042678, fps: 25.7454
time_per_frame: 0.0452865, fps: 25.5164
time_per_frame: 0.030859, fps: 25.947
time_per_frame: 0.03096, fps: 26.3441
time_per_frame: 0.0492578, fps: 25.9664
time_per_frame: 0.0355516, fps: 26.1015
time_per_frame: 0.0380204, fps: 26.114
time_per_frame: 0.0402818, fps: 26.0335
time_per_frame: 0.0412073, fps: 25.9231
time_per_frame: 0.0418882, fps: 25.795
time_per_frame: 0.0431266, fps: 25.632
time_per_frame: 0.0444649, fps: 25.4356
time_per_frame: 0.0460622, fps: 25.2027
time_per_frame: 0.0320653, fps: 25.5767
time_per_frame: 0.0326098, fps: 25.8948
time_per_frame: 0.0350516, fps: 26.0594
time_per_frame: 0.0358783, fps: 26.1727
time_per_frame: 0.0560181, fps: 25.6526
time_per_frame: 0.0408725, fps: 25.5785
time_per_frame: 0.0447268, fps: 25.3772
time_per_frame: 0.0305997, fps: 25.8336
time_per_frame: 0.0287311, fps: 26.3944
time_per_frame: 0.0310982, fps: 26.7545
time_per_frame: 0.0308572, fps: 27.1078
time_per_frame: 0.0517347, fps: 26.6216
time_per_frame: 0.037244, fps: 26.6359
time_per_frame: 0.0355494, fps: 26.7293
time_per_frame: 0.038011, fps: 26.703
time_per_frame: 0.0398744, fps: 26.6014
time_per_frame: 0.0410815, fps: 26.4602
time_per_frame: 0.0446735, fps: 26.2055
time_per_frame: 0.0605973, fps: 25.5991
time_per_frame: 0.029661, fps: 26.1063
time_per_frame: 0.0311642, fps: 26.4801
time_per_frame: 0.0349411, fps: 26.6138
time_per_frame: 0.0375114, fps: 26.6166
time_per_frame: 0.039117, fps: 26.5509
time_per_frame: 0.0383899, fps: 26.5195
time_per_frame: 0.0565878, fps: 25.9665
time_per_frame: 0.0420924, fps: 25.8284
time_per_frame: 0.0428502, fps: 25.6727
time_per_frame: 0.0461392, fps: 25.4228
time_per_frame: 0.0293281, fps: 25.9649
time_per_frame: 0.031553, fps: 26.3229
time_per_frame: 0.0493738, fps: 25.9436
time_per_frame: 0.033504, fps: 26.1875
time_per_frame: 0.0371117, fps: 26.2349
time_per_frame: 0.0394868, fps: 26.178
time_per_frame: 0.0399149, fps: 26.1077
time_per_frame: 0.0409024, fps: 26.004
time_per_frame: 0.0408386, fps: 25.9092
time_per_frame: 0.0611994, fps: 25.3111
time_per_frame: 0.031678, fps: 25.7022
time_per_frame: 0.0316449, fps: 26.0708
time_per_frame: 0.043418, fps: 25.8809
time_per_frame: 0.0434351, fps: 25.7023
time_per_frame: 0.0305425, fps: 26.1422
time_per_frame: 0.0316186, fps: 26.485
time_per_frame: 0.0467978, fps: 26.1652
time_per_frame: 0.0323855, fps: 26.4598
time_per_frame: 0.0342056, fps: 26.6332
time_per_frame: 0.0368969, fps: 26.6626
time_per_frame: 0.0381167, fps: 26.6358
time_per_frame: 0.0307044, fps: 27.0066
time_per_frame: 0.0485635, fps: 26.6057
time_per_frame: 0.0332068, fps: 26.825
time_per_frame: 0.0376576, fps: 26.8081
time_per_frame: 0.0376937, fps: 26.7907
time_per_frame: 0.0395014, fps: 26.6985
time_per_frame: 0.0400553, fps: 26.5902
time_per_frame: 0.0507413, fps: 26.1601
time_per_frame: 0.0523185, fps: 25.7197
time_per_frame: 0.0361325, fps: 25.8419
time_per_frame: 0.038803, fps: 25.8375
time_per_frame: 0.0320084, fps: 26.1753
time_per_frame: 0.034187, fps: 26.3675
time_per_frame: 0.035095, fps: 26.5004
time_per_frame: 0.0383858, fps: 26.4723
time_per_frame: 0.0561553, fps: 25.9308
time_per_frame: 0.0412398, fps: 25.8257
time_per_frame: 0.0430059, fps: 25.6648
time_per_frame: 0.045482, fps: 25.435
time_per_frame: 0.0297478, fps: 25.9463
time_per_frame: 0.0339503, fps: 26.1655
time_per_frame: 0.0331185, fps: 26.4174
time_per_frame: 0.052886, fps: 25.9481
time_per_frame: 0.0384726, fps: 25.9508
time_per_frame: 0.0382356, fps: 25.9635
time_per_frame: 0.0407719, fps: 25.8737
time_per_frame: 0.0426904, fps: 25.7206
time_per_frame: 0.0272371, fps: 26.4078
time_per_frame: 0.06069, fps: 25.7871
time_per_frame: 0.0309472, fps: 26.195
time_per_frame: 0.0322582, fps: 26.4953
time_per_frame: 0.033943, fps: 26.6806
time_per_frame: 0.035707, fps: 26.7635
time_per_frame: 0.0362131, fps: 26.8166
time_per_frame: 0.0376434, fps: 26.8009
time_per_frame: 0.055683, fps: 26.2483
time_per_frame: 0.0410166, fps: 26.1315
time_per_frame: 0.0427378, fps: 25.9607
time_per_frame: 0.0451987, fps: 25.721
time_per_frame: 0.0297511, fps: 26.2142
time_per_frame: 0.0322451, fps: 26.5141
time_per_frame: 0.0317816, fps: 26.8235
time_per_frame: 0.050338, fps: 26.3886
time_per_frame: 0.0360804, fps: 26.4716
time_per_frame: 0.0367886, fps: 26.516
time_per_frame: 0.0390915, fps: 26.4576
time_per_frame: 0.0405039, fps: 26.347
time_per_frame: 0.0408693, fps: 26.2296
time_per_frame: 0.0431372, fps: 26.0391
time_per_frame: 0.0601918, fps: 25.45
time_per_frame: 0.0307733, fps: 25.8904
time_per_frame: 0.0327061, fps: 26.1832
time_per_frame: 0.0340528, fps: 26.3821
time_per_frame: 0.0355367, fps: 26.492
time_per_frame: 0.0369979, fps: 26.5255
time_per_frame: 0.0562537, fps: 25.9787
time_per_frame: 0.0419534, fps: 25.8448
time_per_frame: 0.0426503, fps: 25.6949
time_per_frame: 0.0447993, fps: 25.4841
time_per_frame: 0.0292431, fps: 26.0286
time_per_frame: 0.0308036, fps: 26.4308
time_per_frame: 0.0336487, fps: 26.6363
time_per_frame: 0.0514331, fps: 26.1867
time_per_frame: 0.0370515, fps: 26.2369
time_per_frame: 0.0387057, fps: 26.2118
time_per_frame: 0.039163, fps: 26.1695
time_per_frame: 0.0423502, fps: 26.0097
time_per_frame: 0.0423699, fps: 25.8592
time_per_frame: 0.044171, fps: 25.6579
time_per_frame: 0.046025, fps: 25.4123
time_per_frame: 0.0320723, fps: 25.7727
time_per_frame: 0.033481, fps: 26.0287
time_per_frame: 0.0355921, fps: 26.1579
time_per_frame: 0.0375511, fps: 26.1874
time_per_frame: 0.0388242, fps: 26.1605
time_per_frame: 0.0559842, fps: 25.6419
time_per_frame: 0.0415104, fps: 25.5449
time_per_frame: 0.0446217, fps: 25.349
time_per_frame: 0.0291016, fps: 25.9123
time_per_frame: 0.0310162, fps: 26.3079
time_per_frame: 0.0317225, fps: 26.6339
time_per_frame: 0.0332483, fps: 26.849
time_per_frame: 0.0511195, fps: 26.3936
time_per_frame: 0.0358915, fps: 26.4854
time_per_frame: 0.0367124, fps: 26.5324
time_per_frame: 0.0397876, fps: 26.445
time_per_frame: 0.0421146, fps: 26.2762
time_per_frame: 0.0413452, fps: 26.1456
time_per_frame: 0.0436984, fps: 25.9418
time_per_frame: 0.0603763, fps: 25.3556
time_per_frame: 0.031169, fps: 25.7761
time_per_frame: 0.031883, fps: 26.1254
time_per_frame: 0.0346071, fps: 26.2985
time_per_frame: 0.0378064, fps: 26.308
time_per_frame: 0.037833, fps: 26.3158
